position.x,obj_dois,title_vector,position.y,relationType,relatedIdentifierType,subj_dois,subjtitle_vector
6,10.21966/7cmt-ca72,Zooplankton Bongo Net Data from the 2019 and 2020 Gulf of Alaska International Year of the Salmon Expeditions,17,References,DOI,10.15468/dl.f8s2hg,Occurrence Download
6,10.21966/7cmt-ca72,Zooplankton Bongo Net Data from the 2019 and 2020 Gulf of Alaska International Year of the Salmon Expeditions,18,References,DOI,10.15468/dl.vaz2q7,Occurrence Download
6,10.21966/7cmt-ca72,Zooplankton Bongo Net Data from the 2019 and 2020 Gulf of Alaska International Year of the Salmon Expeditions,19,References,DOI,10.15468/dl.pk3trq,Occurrence Download
6,10.21966/7cmt-ca72,Zooplankton Bongo Net Data from the 2019 and 2020 Gulf of Alaska International Year of the Salmon Expeditions,20,References,DOI,10.15468/dl.7gzvbw,Occurrence Download
6,10.21966/7cmt-ca72,Zooplankton Bongo Net Data from the 2019 and 2020 Gulf of Alaska International Year of the Salmon Expeditions,23,References,DOI,10.15468/dl.7m3x6e,Occurrence Download
6,10.21966/7cmt-ca72,Zooplankton Bongo Net Data from the 2019 and 2020 Gulf of Alaska International Year of the Salmon Expeditions,24,References,DOI,10.15468/dl.ucfhd2,Occurrence Download
6,10.21966/7cmt-ca72,Zooplankton Bongo Net Data from the 2019 and 2020 Gulf of Alaska International Year of the Salmon Expeditions,25,References,DOI,10.15468/dl.mpsknf,Occurrence Download
6,10.21966/7cmt-ca72,Zooplankton Bongo Net Data from the 2019 and 2020 Gulf of Alaska International Year of the Salmon Expeditions,26,References,DOI,10.15468/dl.6vtqy8,Occurrence Download
6,10.21966/7cmt-ca72,Zooplankton Bongo Net Data from the 2019 and 2020 Gulf of Alaska International Year of the Salmon Expeditions,27,References,DOI,10.15468/dl.72zk7d,Occurrence Download
6,10.21966/7cmt-ca72,Zooplankton Bongo Net Data from the 2019 and 2020 Gulf of Alaska International Year of the Salmon Expeditions,28,References,DOI,10.15468/dl.fdqx94,Occurrence Download
6,10.21966/7cmt-ca72,Zooplankton Bongo Net Data from the 2019 and 2020 Gulf of Alaska International Year of the Salmon Expeditions,29,References,DOI,10.15468/dl.t4gc8j,Occurrence Download
6,10.21966/7cmt-ca72,Zooplankton Bongo Net Data from the 2019 and 2020 Gulf of Alaska International Year of the Salmon Expeditions,30,References,DOI,10.15468/dd.6fcd2f,More than half of data deficient species predicted to be threatened by extinction
6,10.21966/7cmt-ca72,Zooplankton Bongo Net Data from the 2019 and 2020 Gulf of Alaska International Year of the Salmon Expeditions,31,References,DOI,10.15468/dl.tsup7a,Occurrence Download
6,10.21966/7cmt-ca72,Zooplankton Bongo Net Data from the 2019 and 2020 Gulf of Alaska International Year of the Salmon Expeditions,32,References,DOI,10.15468/dl.c3mkt8,Occurrence Download
6,10.21966/7cmt-ca72,Zooplankton Bongo Net Data from the 2019 and 2020 Gulf of Alaska International Year of the Salmon Expeditions,33,References,DOI,10.15468/dl.v4qqas,Occurrence Download
7,10.21966/wevm-ww19,Trawl Data from the R/V TINRO during the 2022 International Year of the Salmon Pan-Pacific Winter High Seas Expedition,1,References,DOI,10.15468/dl.4jbnkt,Occurrence Download
7,10.21966/wevm-ww19,Trawl Data from the R/V TINRO during the 2022 International Year of the Salmon Pan-Pacific Winter High Seas Expedition,6,References,DOI,10.15468/dl.gx742r,Occurrence Download
7,10.21966/wevm-ww19,Trawl Data from the R/V TINRO during the 2022 International Year of the Salmon Pan-Pacific Winter High Seas Expedition,8,References,DOI,10.15468/dl.cqpa99,Occurrence Download
7,10.21966/wevm-ww19,Trawl Data from the R/V TINRO during the 2022 International Year of the Salmon Pan-Pacific Winter High Seas Expedition,9,References,DOI,10.15468/dl.6vdkbn,Occurrence Download
7,10.21966/wevm-ww19,Trawl Data from the R/V TINRO during the 2022 International Year of the Salmon Pan-Pacific Winter High Seas Expedition,10,References,DOI,10.15468/dl.zycegr,Occurrence Download
7,10.21966/wevm-ww19,Trawl Data from the R/V TINRO during the 2022 International Year of the Salmon Pan-Pacific Winter High Seas Expedition,15,References,DOI,10.15468/dl.459uag,Occurrence Download
7,10.21966/wevm-ww19,Trawl Data from the R/V TINRO during the 2022 International Year of the Salmon Pan-Pacific Winter High Seas Expedition,17,References,DOI,10.15468/dl.f8s2hg,Occurrence Download
7,10.21966/wevm-ww19,Trawl Data from the R/V TINRO during the 2022 International Year of the Salmon Pan-Pacific Winter High Seas Expedition,19,References,DOI,10.15468/dl.pk3trq,Occurrence Download
7,10.21966/wevm-ww19,Trawl Data from the R/V TINRO during the 2022 International Year of the Salmon Pan-Pacific Winter High Seas Expedition,21,References,DOI,10.15468/dl.rm8rn8,Occurrence Download
7,10.21966/wevm-ww19,Trawl Data from the R/V TINRO during the 2022 International Year of the Salmon Pan-Pacific Winter High Seas Expedition,24,References,DOI,10.15468/dl.ucfhd2,Occurrence Download
8,10.21966/gmrz-ad56,Trawl Data from the CCGS Sir John Franklin during the 2022 International Year of the Salmon Pan-Pacific Winter High Seas Expedition,1,References,DOI,10.15468/dl.4jbnkt,Occurrence Download
8,10.21966/gmrz-ad56,Trawl Data from the CCGS Sir John Franklin during the 2022 International Year of the Salmon Pan-Pacific Winter High Seas Expedition,6,References,DOI,10.15468/dl.gx742r,Occurrence Download
8,10.21966/gmrz-ad56,Trawl Data from the CCGS Sir John Franklin during the 2022 International Year of the Salmon Pan-Pacific Winter High Seas Expedition,9,References,DOI,10.15468/dl.6vdkbn,Occurrence Download
8,10.21966/gmrz-ad56,Trawl Data from the CCGS Sir John Franklin during the 2022 International Year of the Salmon Pan-Pacific Winter High Seas Expedition,10,References,DOI,10.15468/dl.zycegr,Occurrence Download
8,10.21966/gmrz-ad56,Trawl Data from the CCGS Sir John Franklin during the 2022 International Year of the Salmon Pan-Pacific Winter High Seas Expedition,15,References,DOI,10.15468/dl.459uag,Occurrence Download
8,10.21966/gmrz-ad56,Trawl Data from the CCGS Sir John Franklin during the 2022 International Year of the Salmon Pan-Pacific Winter High Seas Expedition,17,References,DOI,10.15468/dl.f8s2hg,Occurrence Download
8,10.21966/gmrz-ad56,Trawl Data from the CCGS Sir John Franklin during the 2022 International Year of the Salmon Pan-Pacific Winter High Seas Expedition,18,References,DOI,10.15468/dl.vaz2q7,Occurrence Download
8,10.21966/gmrz-ad56,Trawl Data from the CCGS Sir John Franklin during the 2022 International Year of the Salmon Pan-Pacific Winter High Seas Expedition,19,References,DOI,10.15468/dl.pk3trq,Occurrence Download
8,10.21966/gmrz-ad56,Trawl Data from the CCGS Sir John Franklin during the 2022 International Year of the Salmon Pan-Pacific Winter High Seas Expedition,21,References,DOI,10.15468/dl.rm8rn8,Occurrence Download
8,10.21966/gmrz-ad56,Trawl Data from the CCGS Sir John Franklin during the 2022 International Year of the Salmon Pan-Pacific Winter High Seas Expedition,24,References,DOI,10.15468/dl.ucfhd2,Occurrence Download
9,10.21966/zw3v-md11,Juday Net Zooplankton Data from the 2019 Gulf of Alaska International Year of the Salmon Expedition,1,References,DOI,10.15468/dl.4jbnkt,Occurrence Download
9,10.21966/zw3v-md11,Juday Net Zooplankton Data from the 2019 Gulf of Alaska International Year of the Salmon Expedition,6,References,DOI,10.15468/dl.gx742r,Occurrence Download
9,10.21966/zw3v-md11,Juday Net Zooplankton Data from the 2019 Gulf of Alaska International Year of the Salmon Expedition,8,References,DOI,10.15468/dl.cqpa99,Occurrence Download
9,10.21966/zw3v-md11,Juday Net Zooplankton Data from the 2019 Gulf of Alaska International Year of the Salmon Expedition,9,References,DOI,10.15468/dl.6vdkbn,Occurrence Download
9,10.21966/zw3v-md11,Juday Net Zooplankton Data from the 2019 Gulf of Alaska International Year of the Salmon Expedition,10,References,DOI,10.15468/dl.zycegr,Occurrence Download
