cruise_name,vessel_name_abbr,zone,station,event_type,station_event_id,alternative_event_id,event_date,year,month,day,time_start,time_end,sampling_duration_minutes,day_night,time_zone_code,minimum_sampling_depth_meters,maximum_sampling_depth_meters,tow_speed_kilometers_per_hour,latitude_start_decdeg,longitude_start_decdeg,latitude_end_decdeg,longitude_end_decdeg,bottom_depth_meters,tow_distance_nautical_miles,wind_direction_degrees,wind_speed_kilometers_per_hour,wave_height_meters,swell_height_meters,weather_description,comments,day_of_year
IYS2022,NW,2,9,Trawl,IYS2022-NW-2-9-Trawl,NA,2022-04-08T01:01:43Z,2022,4,8,01:01:43,02:02:34,61,NA,UTC,0,36.55,NA,52.1884,-165.2296,52.2482,-165.2604,NA,NA,NA,NA,NA,NA,NA,NA,98
IYS2022,NW,2,10,Trawl,IYS2022-NW-2-10-Trawl,NA,2022-04-08T16:54:51Z,2022,4,8,16:54:51,17:55:42,61,NA,UTC,0,38.19,NA,53.3191,-165.326,53.3722,-165.3744,NA,NA,NA,NA,NA,NA,NA,NA,98
IYS2022,NW,2,10,Trawl,IYS2022-NW-2-10-Trawl2,NA,2022-04-08T18:47:11Z,2022,4,8,18:47:11,19:02:25,15,NA,UTC,0,255.2,NA,53.4029,-165.377,53.4172,-165.3715,NA,NA,NA,NA,NA,NA,NA,NA,98
IYS2022,NW,2,11,Trawl,IYS2022-NW-2-11-Trawl,NA,2022-04-11T17:17:15Z,2022,4,11,17:17:15,18:18:07,61,NA,UTC,0,40.74,NA,51.8884,-167.3066,51.8248,-167.3217,NA,NA,NA,NA,NA,NA,NA,NA,101
IYS2022,NW,2,12,Trawl,IYS2022-NW-2-12-Trawl,NA,2022-04-12T02:23:13Z,2022,4,12,02:23:13,03:24:06,61,NA,UTC,0,38.08,NA,50.8318,-167.3551,50.7718,-167.3185,NA,NA,NA,NA,NA,NA,NA,NA,102
IYS2022,NW,2,13,Trawl,IYS2022-NW-2-13-Trawl,NA,2022-04-12T17:25:55Z,2022,4,12,17:25:55,18:26:47,61,NA,UTC,0,40.06,NA,49.8961,-167.3189,49.8379,-167.2953,NA,NA,NA,NA,NA,NA,NA,NA,102
IYS2022,NW,2,13,Trawl,IYS2022-NW-2-13-Trawl2,NA,2022-04-12T20:40:16Z,2022,4,12,20:40:16,20:55:30,15,NA,UTC,0,309.1,NA,49.7344,-167.2619,49.7212,-167.2603,NA,NA,NA,NA,NA,NA,NA,NA,102
IYS2022,NW,2,14,Trawl,IYS2022-NW-2-14-Trawl,NA,2022-04-13T04:11:14Z,2022,4,13,04:11:14,05:12:05,61,NA,UTC,0,39.54,NA,48.8138,-167.3097,48.7875,-167.3932,NA,NA,NA,NA,NA,NA,NA,NA,103
IYS2022,NW,2,15,Trawl,IYS2022-NW-2-15-Trawl,NA,2022-04-13T17:02:05Z,2022,4,13,17:02:05,18:02:56,61,NA,UTC,0,37.27,NA,48.4956,-169.4349,48.5631,-169.4597,NA,NA,NA,NA,NA,NA,NA,NA,103
IYS2022,NW,2,16,Trawl,IYS2022-NW-2-16-Trawl,NA,2022-04-14T01:23:03Z,2022,4,14,01:23:03,02:23:54,61,NA,UTC,0,36.36,NA,49.482,-169.4789,49.4733,-169.5834,NA,NA,NA,NA,NA,NA,NA,NA,104
IYS2022,NW,2,17,Trawl,IYS2022-NW-2-17-Trawl,NA,2022-04-14T17:37:53Z,2022,4,14,17:37:53,18:38:45,61,NA,UTC,0,37.26944444,NA,49.1654,-171.572,49.1065,-171.5096,NA,NA,NA,NA,NA,NA,NA,NA,104
IYS2022,NW,2,18,Trawl,IYS2022-NW-2-18-Trawl,NA,2022-04-15T19:45:19Z,2022,4,15,19:45:19,20:46:10,61,NA,UTC,0,37.26944444,NA,48.6943,-173.6493,48.7524,-173.5741,NA,NA,NA,NA,NA,NA,NA,No 3rd wire or bongo due to sea states. SST 3.95,105
IYS2022,NW,2,19,Trawl,IYS2022-NW-2-19-Trawl,NA,2022-04-16T18:03:43Z,2022,4,16,18:03:43,19:04:35,61,NA,UTC,0,37.26944444,NA,50.2332,-171.6187,50.3115,-171.6152,NA,NA,NA,NA,NA,NA,NA,No 3rd wire due to sea state.  SST 4.77,106
IYS2022,NW,2,20,Trawl,IYS2022-NW-2-20-Trawl,NA,2022-04-17T02:27:44Z,2022,4,17,02:27:44,03:28:36,61,NA,UTC,0,33.4,NA,51.2046,-171.4807,51.187,-171.3727,NA,NA,NA,NA,NA,NA,NA,NA,107
IYS2022,NW,2,21,Trawl,IYS2022-NW-2-21-Trawl,NA,2022-04-17T17:30:09Z,2022,4,17,17:30:09,18:31:01,61,NA,UTC,0,37.26944444,NA,50.4802,-169.4903,50.5565,-169.4702,NA,NA,NA,NA,NA,NA,NA,NA,107
IYS2022,NW,2,22,Trawl,IYS2022-NW-2-22-Trawl,NA,2022-04-18T02:12:59Z,2022,4,18,02:12:59,03:13:50,61,NA,UTC,0,35.52,NA,51.5255,-169.4892,51.5689,-169.4023,NA,NA,NA,NA,NA,NA,NA,NA,108
IYS2022,Shimada,4,1,Trawl,IYS2022-Shimada-4-1-Trawl,NA,2022-02-05T18:32:02Z,2022,2,5,18:32:02,19:32:13,60,day,UTC,0,30.97,7.23905,47.791,-126.2413,47.7964,-126.3459,1857,4.236227035552386,328.88,2.34914,NA,NA,NA,GEAR_TRIAL,36
